mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,efficiency
16,8,302,140,4141,14,74,2,142,Bajo
13,8,350,150,4699,14,74,2,27,Bajo
14,8,318,150,4457,13,74,2,110,Bajo
14,8,302,140,4638,16,74,2,143,Bajo
14,8,304,150,4257,15,74,2,11,Bajo
29,4,98,83,2219,16,74,0,21,Medio
26,4,79,67,1963,15,74,0,284,Medio
26,4,97,78,2300,14,74,0,209,Medio
31,4,76,52,1649,16,74,1,271,Alto
32,4,83,61,2003,19,74,1,88,Alto
28,4,90,75,2125,14,74,2,103,Medio
24,4,90,75,2108,15,74,0,124,Medio
26,4,116,75,2246,14,74,0,122,Medio
24,4,120,97,2489,15,74,1,167,Medio
26,4,108,93,2391,15,74,1,261,Medio
31,4,79,67,2000,16,74,0,127,Alto
19,6,225,95,3264,16,75,2,236,Bajo
18,6,250,105,3459,16,75,2,61,Bajo
15,6,250,72,3432,21,75,2,194,Bajo
15,6,250,72,3158,19,75,2,150,Bajo
16,8,400,170,4668,11,75,2,241,Bajo
15,8,350,145,4440,14,75,2,42,Bajo
16,8,318,150,4498,14,75,2,224,Bajo
14,8,351,148,4657,13,75,2,148,Bajo
17,6,231,110,3907,21,75,2,24,Bajo
16,6,250,105,3897,18,75,2,41,Bajo
15,6,258,110,3730,19,75,2,10,Bajo
18,6,225,95,3785,19,75,2,221,Bajo
21,6,231,110,3039,15,75,2,34,Medio
20,8,262,110,3221,13,75,2,60,Medio
13,8,302,129,3169,12,75,2,154,Bajo
29,4,97,75,2171,16,75,1,266,Medio
23,4,140,83,2639,17,75,2,156,Medio
20,6,232,100,2914,16,75,2,7,Medio
23,4,140,78,2592,18,75,2,240,Medio
24,4,134,96,2702,13,75,1,271,Medio
25,4,90,71,2223,16,75,0,284,Medio
24,4,119,97,2545,17,75,1,88,Medio
18,6,171,97,2984,14,75,2,156,Bajo
29,4,90,70,1937,14,75,0,287,Medio
19,6,232,90,3211,17,75,2,12,Bajo
23,4,115,95,2694,15,75,0,17,Medio
23,4,120,88,2957,17,75,0,211,Medio
22,4,121,98,2945,14,75,0,296,Medio
25,4,121,115,2671,13,75,0,260,Medio
33,4,91,53,1795,17,75,1,171,Alto
28,4,107,86,2464,15,76,0,125,Medio
25,4,116,81,2220,16,76,0,208,Medio
25,4,140,92,2572,14,76,2,40,Medio
26,4,98,79,2255,17,76,2,103,Medio
27,4,101,83,2202,15,76,0,254,Medio
17,8,305,140,4215,13,76,2,50,Bajo
16,8,318,150,4190,13,76,2,108,Bajo
15,8,304,120,3962,13,76,2,10,Bajo
14,8,351,152,4215,12,76,2,142,Bajo
22,6,225,100,3233,15,76,2,235,Medio
22,6,250,105,3353,14,76,2,61,Medio
24,6,200,81,3012,17,76,2,150,Medio
22,6,232,90,3085,17,76,2,8,Medio
29,4,85,52,2035,22,76,2,51,Medio
24,4,98,60,2164,22,76,2,66,Medio
29,4,90,70,1937,14,76,0,302,Medio
33,4,91,53,1795,17,76,1,167,Alto
20,6,225,100,3651,17,76,2,100,Medio
18,6,250,78,3574,21,76,2,145,Bajo
18,6,250,110,3645,16,76,2,252,Bajo
17,6,258,95,3193,17,76,2,13,Bajo
29,4,97,71,1825,12,76,0,287,Medio
32,4,85,70,1990,17,76,1,91,Alto
28,4,97,75,2155,16,76,1,266,Medio
26,4,140,72,2565,13,76,2,156,Medio
20,4,130,102,3150,15,76,0,297,Medio
13,8,318,150,3940,13,76,2,239,Bajo
19,4,120,88,3270,21,76,0,211,Bajo
19,6,156,108,2930,15,76,1,276,Bajo
16,6,168,120,3820,16,76,0,186,Bajo
16,8,350,180,4380,12,76,2,39,Bajo
13,8,350,145,4055,12,76,2,67,Bajo
13,8,302,130,3870,15,76,2,132,Bajo
13,8,318,150,3755,14,76,2,111,Bajo
31,4,98,68,2045,18,77,1,165,Alto
30,4,111,80,2155,14,77,2,32,Alto
36,4,79,58,1825,18,77,0,256,Alto
25,4,122,96,2300,15,77,2,216,Medio
33,4,85,70,1945,16,77,1,94,Alto
17,8,305,145,3880,12,77,2,44,Bajo
17,8,260,110,4060,19,77,2,202,Bajo
15,8,318,145,4140,13,77,2,117,Bajo
15,8,302,130,4295,14,77,2,189,Bajo
17,6,250,110,3520,16,77,2,53,Bajo
20,6,231,105,3425,16,77,2,35,Medio
19,6,225,100,3630,17,77,2,238,Bajo
18,6,250,98,3525,19,77,2,144,Bajo
16,8,400,180,4220,11,77,2,245,Bajo
15,8,350,170,4165,11,77,2,58,Bajo
15,8,400,190,4325,12,77,2,70,Bajo
16,8,351,149,4335,14,77,2,160,Bajo
29,4,97,78,1940,14,77,0,288,Medio
24,4,151,88,2740,16,77,2,251,Medio
26,4,97,75,2265,18,77,1,269,Medio
25,4,140,89,2755,15,77,2,155,Medio
30,4,98,63,2051,17,77,2,51,Alto
33,4,98,83,2075,15,77,2,107,Alto
30,4,97,67,1985,16,77,1,262,Alto
30,4,97,78,2190,14,77,0,284,Alto
22,6,146,97,2815,14,77,1,89,Medio
21,4,121,110,2600,12,77,0,23,Medio
21,3,80,110,2720,13,77,1,181,Medio
43,4,90,48,1985,21,78,0,289,Alto
36,4,98,66,1800,14,78,2,139,Alto
32,4,78,52,1985,19,78,1,180,Alto
39,4,85,70,2070,18,78,1,93,Alto
36,4,91,60,1800,16,78,1,171,Alto
19,8,260,110,3365,15,78,2,201,Bajo
19,8,318,140,3735,13,78,2,114,Bajo
20,8,302,139,3570,12,78,2,195,Medio
19,6,231,105,3535,19,78,2,249,Bajo
20,6,200,95,3155,18,78,2,55,Medio
20,6,200,85,2965,15,78,2,135,Medio
25,4,140,88,2720,15,78,2,136,Medio
20,6,225,100,3430,17,78,2,237,Medio
19,6,232,90,3210,17,78,2,3,Bajo
20,6,231,105,3380,15,78,2,28,Medio
20,6,200,85,3070,16,78,2,196,Medio
18,6,225,110,3620,18,78,2,98,Bajo
18,6,258,120,3410,15,78,2,4,Bajo
19,8,305,145,3425,13,78,2,58,Bajo
17,6,231,165,3445,13,78,2,33,Bajo
18,8,302,139,3205,11,78,2,140,Bajo
17,8,318,140,4080,13,78,2,115,Bajo
30,4,98,68,2155,16,78,2,51,Alto
27,4,134,95,2560,14,78,1,271,Medio
27,4,119,97,2300,14,78,1,84,Medio
30,4,105,75,2230,14,78,2,118,Alto
21,4,134,95,2515,14,78,1,265,Medio
23,4,156,105,2745,16,78,2,230,Medio
23,4,151,85,2855,17,78,2,206,Medio
23,4,119,97,2405,14,78,1,77,Medio
20,5,131,103,2830,15,78,0,19,Medio
17,6,163,125,3140,13,78,0,298,Bajo
21,4,121,115,2795,15,78,0,259,Medio
16,6,163,133,3410,15,78,0,214,Bajo
31,4,89,71,1990,14,78,0,291,Alto
29,4,98,68,2135,16,78,1,166,Medio
21,6,231,115,3245,15,79,2,247,Medio
19,6,200,85,2990,18,79,2,197,Bajo
22,4,140,88,2890,17,79,2,137,Medio
20,6,232,90,3265,18,79,2,6,Medio
20,6,225,110,3360,16,79,2,99,Medio
17,8,305,130,3840,15,79,2,44,Bajo
17,8,302,129,3725,13,79,2,149,Bajo
16,8,351,138,3955,13,79,2,190,Bajo
18,8,318,135,3830,15,79,2,120,Bajo
16,8,350,155,4360,14,79,2,30,Bajo
15,8,351,142,4054,14,79,2,129,Bajo
19,8,267,125,3605,15,79,2,56,Bajo
18,8,360,150,3940,13,79,2,73,Bajo
31,4,89,71,1925,14,79,0,304,Alto
34,4,86,65,1975,15,79,1,173,Alto
35,4,98,80,1915,14,79,2,106,Alto
27,4,121,80,2670,15,79,2,15,Medio
25,5,183,77,3530,20,79,0,184,Medio
23,8,350,125,3900,17,79,2,38,Medio
27,4,141,71,3190,24,79,0,211,Medio
23,8,260,90,3420,22,79,2,201,Medio
34,4,105,70,2200,13,79,2,225,Alto
34,4,105,70,2150,14,79,2,228,Alto
31,4,85,65,2020,19,79,1,79,Alto
37,4,91,69,2130,14,79,0,126,Alto
28,4,151,90,2670,16,79,2,37,Medio
28,6,173,115,2595,11,79,2,52,Medio
26,6,173,115,2700,12,79,2,205,Medio
33,4,151,90,2556,13,79,2,248,Alto
41,4,98,76,2144,14,80,0,302,Alto
38,4,89,60,1968,18,80,1,270,Alto
32,4,98,70,2120,15,80,2,51,Alto
37,4,86,65,2019,16,80,1,82,Alto
28,4,151,90,2678,16,80,2,52,Medio
26,4,140,88,2870,18,80,2,134,Medio
24,4,151,90,3003,20,80,2,3,Medio
19,6,225,90,3381,18,80,2,98,Bajo
34,4,97,78,2188,15,80,0,18,Alto
29,4,134,90,2711,15,80,1,273,Medio
31,4,120,75,2542,17,80,1,175,Alto
37,4,119,92,2434,15,80,1,86,Alto
32,4,108,75,2265,15,80,1,266,Alto
46,4,86,65,2110,17,80,1,176,Alto
27,4,156,105,2800,14,80,2,103,Medio
40,4,85,65,2110,19,80,1,79,Alto
44,4,90,48,2085,21,80,0,303,Alto
43,4,90,48,2335,23,80,0,300,Alto
36,5,121,67,2950,19,80,0,20,Alto
30,4,146,67,3250,21,80,0,185,Alto
44,4,91,67,1850,13,80,1,170,Alto
40,4,85,93,1835,17,80,0,257,Alto
33,4,97,67,2145,18,80,1,262,Alto
29,4,89,62,1845,15,80,0,281,Medio
32,6,168,132,2910,11,80,1,81,Alto
23,3,70,100,2420,12,80,1,182,Medio
35,4,122,88,2500,15,80,0,280,Alto
23,4,140,93,2905,14,80,2,152,Medio
32,4,107,72,2290,17,80,1,164,Alto
27,4,135,84,2490,15,81,2,229,Medio
26,4,151,84,2635,16,81,2,35,Medio
25,4,156,92,2620,14,81,2,97,Medio
23,6,173,110,2725,12,81,2,52,Medio
30,4,135,84,2385,12,81,2,229,Alto
39,4,79,58,1755,16,81,1,277,Alto
39,4,86,64,1875,16,81,2,217,Alto
35,4,81,60,1760,16,81,1,169,Alto
32,4,97,67,2065,17,81,1,261,Alto
37,4,85,65,1975,19,81,1,80,Alto
37,4,89,62,2050,17,81,1,278,Alto
34,4,91,68,1985,16,81,1,177,Alto
34,4,105,63,2215,14,81,2,226,Alto
34,4,98,65,2045,16,81,2,131,Alto
29,4,98,65,2380,20,81,2,130,Medio
33,4,105,74,2190,14,81,0,285,Alto
34,4,100,93,2320,15,81,0,255,Alto
33,4,107,75,2210,14,81,1,172,Alto
32,4,108,75,2350,16,81,1,266,Alto
32,4,119,100,2615,14,81,1,78,Alto
31,4,120,74,2635,18,81,1,175,Alto
28,4,141,80,3230,20,81,0,213,Medio
30,6,145,76,3160,19,81,0,299,Alto
25,6,168,116,2900,12,81,1,275,Medio
24,6,146,120,2930,13,81,1,90,Medio
22,6,231,110,3415,15,81,2,24,Medio
26,8,350,105,3725,19,81,2,200,Medio
20,6,200,88,3060,17,81,2,146,Medio
17,6,225,85,3465,16,81,2,72,Bajo
28,4,112,88,2605,19,82,2,45,Medio
27,4,112,88,2640,18,82,2,47,Medio
34,4,112,88,2395,18,82,2,46,Alto
31,4,112,85,2575,16,82,2,246,Alto
29,4,135,84,2525,16,82,2,96,Medio
27,4,151,90,2735,18,82,2,248,Medio
24,4,140,92,2865,16,82,2,138,Medio
23,4,151,93,3035,20,82,2,5,Medio
36,4,105,74,1980,15,82,0,290,Alto
37,4,91,68,2025,18,82,1,179,Alto
31,4,91,68,1970,17,82,1,178,Alto
38,4,105,63,2125,14,82,2,227,Alto
36,4,98,70,2125,17,82,2,191,Alto
36,4,120,88,2160,14,82,1,198,Alto
36,4,107,75,2205,14,82,1,164,Alto
34,4,108,70,2245,16,82,1,266,Alto
38,4,91,67,1965,15,82,1,167,Alto
32,4,91,67,1965,15,82,1,168,Alto
38,4,91,67,1995,16,82,1,83,Alto
25,6,181,110,2945,16,82,2,26,Medio
38,6,262,85,3015,17,82,2,199,Alto
26,4,156,92,2585,14,82,2,71,Medio
22,6,232,112,2835,14,82,2,147,Medio
32,4,144,96,2665,13,82,1,264,Alto
36,4,135,84,2370,13,82,2,102,Alto
27,4,151,90,2950,17,82,2,43,Medio
27,4,140,86,2790,15,82,2,153,Medio
44,4,97,52,2130,24,82,0,301,Alto
32,4,135,84,2295,11,82,2,119,Alto
28,4,120,79,2625,18,82,2,159,Medio
31,4,119,82,2720,19,82,2,69,Alto
